Source,Target,Weight,If_across,Type,Category
"Valorisation HSJ, Societe en Commandite ","Valorisation HSJ, Limited Partnership ",1,0,directed,Mobility
Valorisation-Recherche L.P.,"Valorisation HSJ, Limited Partnership ",7,0,directed,Mobility
Adaerata Limited Partnership ,Valorisation-Recherche L.P.,1,0,undirected,Cooperation
British Columbia Cancer Agency Branch ,Valorisation-Recherche L.P.,1,1,undirected,Cooperation
Centre National de la Rechecch Scientifique ,Valorisation-Recherche L.P.,5,1,undirected,Cooperation
Odyssey Thera Inc.,Valorisation-Recherche L.P.,2,1,directed,Mobility
"RSEM, Limited Partnership ",Valorisation-Recherche L.P.,2,0,undirected,Cooperation
Universite d'Angers ,Valorisation-Recherche L.P.,1,0,directed,Mobility
Universite Paul Sabatier Toulouse III ,Valorisation-Recherche L.P.,1,1,undirected,Cooperation
"Valorisation HSJ, Limited Partnership ",Valorisation-Recherche L.P.,4,0,undirected,Cooperation
"Valorisation HSJ, Societe en Commandite ",Valorisation-Recherche L.P.,2,0,directed,Mobility
"Valorisation-Recherche, Societe en Commandite ",Valorisation-Recherche L.P.,3,0,directed,Mobility
Institut de Cardiologie de Montreal ,"Valorisation-Recherche, Societe en Commandite ",1,0,undirected,Cooperation
The Trustees of the University of Pennsylvania ,"Valorisation-Recherche, Societe en Commandite ",2,1,undirected,Cooperation
"Valorisation HSJ, Societe en Commandite ","Valorisation-Recherche, Societe en Commandite ",1,0,undirected,Cooperation
Merck Frosst Company ,Vanderbilt University ,3,1,undirected,Cooperation
Institut Pasteur ,"Variagenics, Inc.",1,1,undirected,Cooperation
Nova Molecular Inc.,"Variagenics, Inc.",1,1,directed,Mobility
OTV SA ,Veolia Water Solutions & Technologies Support ,1,1,directed,Mobility
Actelion Pharmaceuticals Ltd.,Vertex Pharmaceuticals ,1,1,directed,Mobility
Bio-Chem Pharma Inc.,Vertex Pharmaceuticals ,2,1,directed,Mobility
Biochem Therapeutics Incorporated ,Vertex Pharmaceuticals ,1,1,directed,Mobility
Boehringer Ingelheim International GmbH ,Vertex Pharmaceuticals ,1,1,directed,Mobility
"Isis Pharmaceuticals, Inc.",Vertex Pharmaceuticals ,1,1,directed,Mobility
Merck Frosst Company ,Vertex Pharmaceuticals ,2,1,directed,Mobility
Merck Sharp & Dohme Corp.,Vertex Pharmaceuticals ,1,1,directed,Mobility
Shire Biochem Inc.,Vertex Pharmaceuticals ,4,1,directed,Mobility
Societe de Conseils de Recherches et d'Applications Scientifiques ,Vertex Pharmaceuticals ,1,1,directed,Mobility
The Medicines Company ,Vertex Pharmaceuticals ,1,1,directed,Mobility
"Viro Chem Pharma, Inc.",Vertex Pharmaceuticals ,18,1,directed,Mobility
McGill Univeristy ,Wayne State University ,2,1,undirected,Cooperation
The Hong Kong Polytechnic University ,Wayne State University ,2,1,undirected,Cooperation
University of South Florida ,Wayne State University ,2,1,undirected,Cooperation
Massachusetts Institute of Technology ,Whitehead Institute for Biomedical Research ,1,0,undirected,Cooperation
The Royal Institute for the Advancement of Learning/McGill University ,Wisconsin Alumni Research Foundation ,2,1,undirected,Cooperation
American Home Products Corp.,Wyeth ,5,0,directed,Mobility
"Ayerst, McKeena & Harrison, Inc.",Wyeth ,1,1,directed,Mobility
University of Montreal ,Xerox Corporation ,1,1,undirected,Cooperation
National Research Coucil of Canada ,ZYMEWORKS INC.,1,1,undirected,Cooperation
